,Destino,Ida,Volta,Preco
0,Berlim,2022-07-01,2022-07-08,R$ 8.100
1,Berlim,2022-07-11,2022-07-18,R$ 8.601
2,Berlim,2022-07-21,2022-07-28,R$ 8.665
3,Berlim,2022-08-01,2022-08-08,R$ 7.623
4,Berlim,2022-08-11,2022-08-18,R$ 6.665
5,Berlim,2022-08-21,2022-08-28,R$ 5.898
6,Berlim,2022-09-01,2022-09-08,R$ 6.592
7,Berlim,2022-09-11,2022-09-18,R$ 5.668
8,Berlim,2022-09-21,2022-09-28,R$ 5.733
9,Berlim,2022-10-01,2022-10-08,R$ 4.985
10,Berlim,2022-10-11,2022-10-18,R$ 3.922
11,Berlim,2022-10-21,2022-10-28,R$ 3.950
12,Berlim,2022-11-01,2022-11-08,R$ 3.375
13,Berlim,2022-11-11,2022-11-18,R$ 4.036
14,Berlim,2022-11-21,2022-11-28,R$ 3.269
15,Berlim,2022-12-01,2022-12-08,R$ 3.639
16,Berlim,2022-12-11,2022-12-18,R$ 4.829
17,Berlim,2022-12-21,2022-12-28,R$ 5.184
