,Destino,Ida,Volta,Preco
0,Berlim,2023-01-01,2023-01-08,R$ 6.196
1,Berlim,2023-01-03,2023-01-10,R$ 6.698
2,Berlim,2023-01-06,2023-01-13,R$ 7.038
3,Berlim,2023-01-09,2023-01-16,R$ 4.889
4,Berlim,2023-01-12,2023-01-19,R$ 4.411
5,Berlim,2023-01-15,2023-01-22,R$ 4.561
6,Berlim,2023-01-18,2023-01-25,R$ 4.237
7,Berlim,2023-01-21,2023-01-28,R$ 4.240
8,Berlim,2023-02-01,2023-02-08,R$ 3.543
9,Berlim,2023-02-03,2023-02-10,R$ 3.474
10,Berlim,2023-02-06,2023-02-13,R$ 3.466
11,Berlim,2023-02-09,2023-02-16,R$ 3.353
12,Berlim,2023-02-12,2023-02-19,R$ 3.414
13,Berlim,2023-02-15,2023-02-22,R$ 3.383
14,Berlim,2023-02-18,2023-02-25,R$ 4.608
15,Berlim,2023-02-21,2023-02-28,R$ 4.085
16,Berlim,2023-03-01,2023-03-08,R$ 3.479
17,Berlim,2023-03-03,2023-03-10,R$ 3.383
18,Berlim,2023-03-06,2023-03-13,R$ 3.383
19,Berlim,2023-03-09,2023-03-16,R$ 3.383
20,Berlim,2023-03-12,2023-03-19,R$ 3.429
21,Berlim,2023-03-15,2023-03-22,R$ 3.383
22,Berlim,2023-03-18,2023-03-25,R$ 3.451
23,Berlim,2023-03-21,2023-03-28,R$ 3.422
24,Berlim,2023-04-01,2023-04-08,R$ 3.429
25,Berlim,2023-04-03,2023-04-10,R$ 3.093
26,Berlim,2023-04-06,2023-04-13,R$ 3.395
27,Berlim,2023-04-09,2023-04-16,R$ 3.395
28,Berlim,2023-04-12,2023-04-19,R$ 3.429
29,Berlim,2023-04-15,2023-04-22,R$ 3.429
30,Berlim,2023-04-18,2023-04-25,R$ 3.429
31,Berlim,2023-04-21,2023-04-28,R$ 3.557
32,Berlim,2023-05-01,2023-05-08,R$ 3.682
33,Berlim,2023-05-03,2023-05-10,R$ 4.235
34,Berlim,2023-05-06,2023-05-13,R$ 4.239
35,Berlim,2023-05-09,2023-05-16,R$ 3.682
36,Berlim,2023-05-12,2023-05-19,R$ 3.970
37,Berlim,2023-05-15,2023-05-22,R$ 3.970
38,Berlim,2023-05-18,2023-05-25,R$ 3.682
39,Berlim,2023-05-21,2023-05-28,R$ 3.970
